combination_id,cluster_1,cluster_2,cluster_3,cluster_4,total_size,color_1,color_2,color_3,color_4
1,8,13,8,1,3065,"C8(B:167.59, G:178.52, R:181.08)","C13(B:130.83, G:148.75, R:216.63)","C8(B:167.59, G:178.52, R:181.08)","C1(B:37.50, G:49.27, R:60.68)"
2,11,18,6,3,3027,"C11(B:93.09, G:117.47, R:138.99)","C18(B:71.24, G:114.86, R:186.20)","C6(B:51.83, G:77.03, R:94.55)","C3(B:167.32, G:182.53, R:181.14)"
3,5,1,4,9,3040,"C5(B:141.83, G:147.11, R:151.05)","C1(B:37.50, G:49.27, R:60.68)","C4(B:43.43, G:54.12, R:71.58)","C9(B:82.92, G:81.66, R:124.65)"
4,1,9,4,5,3040,"C1(B:37.50, G:49.27, R:60.68)","C9(B:82.92, G:81.66, R:124.65)","C4(B:43.43, G:54.12, R:71.58)","C5(B:141.83, G:147.11, R:151.05)"
5,13,12,6,0,3045,"C13(B:130.83, G:148.75, R:216.63)","C12(B:55.40, G:92.48, R:142.35)","C6(B:51.83, G:77.03, R:94.55)","C0(B:99.35, G:133.11, R:149.24)"
6,11,13,20,6,3030,"C11(B:93.09, G:117.47, R:138.99)","C13(B:130.83, G:148.75, R:216.63)","C20(B:102.95, G:140.32, R:155.08)","C6(B:51.83, G:77.03, R:94.55)"
7,12,6,0,13,3045,"C12(B:55.40, G:92.48, R:142.35)","C6(B:51.83, G:77.03, R:94.55)","C0(B:99.35, G:133.11, R:149.24)","C13(B:130.83, G:148.75, R:216.63)"
8,5,9,1,4,3040,"C5(B:141.83, G:147.11, R:151.05)","C9(B:82.92, G:81.66, R:124.65)","C1(B:37.50, G:49.27, R:60.68)","C4(B:43.43, G:54.12, R:71.58)"
9,0,16,16,16,3032,"C0(B:99.35, G:133.11, R:149.24)","C16(B:73.68, G:92.94, R:106.23)","C16(B:73.68, G:92.94, R:106.23)","C16(B:73.68, G:92.94, R:106.23)"
10,13,14,3,20,3035,"C13(B:130.83, G:148.75, R:216.63)","C14(B:112.12, G:124.09, R:114.37)","C3(B:167.32, G:182.53, R:181.14)","C20(B:102.95, G:140.32, R:155.08)"
11,12,20,0,16,3037,"C12(B:55.40, G:92.48, R:142.35)","C20(B:102.95, G:140.32, R:155.08)","C0(B:99.35, G:133.11, R:149.24)","C16(B:73.68, G:92.94, R:106.23)"
12,13,14,6,18,3032,"C13(B:130.83, G:148.75, R:216.63)","C14(B:112.12, G:124.09, R:114.37)","C6(B:51.83, G:77.03, R:94.55)","C18(B:71.24, G:114.86, R:186.20)"
13,17,15,15,18,3008,"C17(B:136.54, G:128.77, R:117.46)","C15(B:33.82, G:48.38, R:56.67)","C15(B:33.82, G:48.38, R:56.67)","C18(B:71.24, G:114.86, R:186.20)"
14,0,16,16,2,3035,"C0(B:99.35, G:133.11, R:149.24)","C16(B:73.68, G:92.94, R:106.23)","C16(B:73.68, G:92.94, R:106.23)","C2(B:120.39, G:139.30, R:120.06)"
15,7,7,10,20,3016,"C7(B:72.25, G:77.27, R:83.17)","C7(B:72.25, G:77.27, R:83.17)","C10(B:132.11, G:101.46, R:81.61)","C20(B:102.95, G:140.32, R:155.08)"
16,9,2,14,12,3023,"C9(B:82.92, G:81.66, R:124.65)","C2(B:120.39, G:139.30, R:120.06)","C14(B:112.12, G:124.09, R:114.37)","C12(B:55.40, G:92.48, R:142.35)"
17,11,19,2,10,3020,"C11(B:93.09, G:117.47, R:138.99)","C19(B:55.08, G:80.23, R:96.73)","C2(B:120.39, G:139.30, R:120.06)","C10(B:132.11, G:101.46, R:81.61)"
18,8,14,8,5,3055,"C8(B:167.59, G:178.52, R:181.08)","C14(B:112.12, G:124.09, R:114.37)","C8(B:167.59, G:178.52, R:181.08)","C5(B:141.83, G:147.11, R:151.05)"
19,5,4,8,14,3061,"C5(B:141.83, G:147.11, R:151.05)","C4(B:43.43, G:54.12, R:71.58)","C8(B:167.59, G:178.52, R:181.08)","C14(B:112.12, G:124.09, R:114.37)"
20,10,2,19,11,3020,"C10(B:132.11, G:101.46, R:81.61)","C2(B:120.39, G:139.30, R:120.06)","C19(B:55.08, G:80.23, R:96.73)","C11(B:93.09, G:117.47, R:138.99)"
21,18,15,15,17,3008,"C18(B:71.24, G:114.86, R:186.20)","C15(B:33.82, G:48.38, R:56.67)","C15(B:33.82, G:48.38, R:56.67)","C17(B:136.54, G:128.77, R:117.46)"
22,20,7,7,10,3016,"C20(B:102.95, G:140.32, R:155.08)","C7(B:72.25, G:77.27, R:83.17)","C7(B:72.25, G:77.27, R:83.17)","C10(B:132.11, G:101.46, R:81.61)"
23,20,3,3,11,3030,"C20(B:102.95, G:140.32, R:155.08)","C3(B:167.32, G:182.53, R:181.14)","C3(B:167.32, G:182.53, R:181.14)","C11(B:93.09, G:117.47, R:138.99)"
24,3,7,12,2,3022,"C3(B:167.32, G:182.53, R:181.14)","C7(B:72.25, G:77.27, R:83.17)","C12(B:55.40, G:92.48, R:142.35)","C2(B:120.39, G:139.30, R:120.06)"
25,4,18,3,19,3035,"C4(B:43.43, G:54.12, R:71.58)","C18(B:71.24, G:114.86, R:186.20)","C3(B:167.32, G:182.53, R:181.14)","C19(B:55.08, G:80.23, R:96.73)"
26,11,17,7,2,3023,"C11(B:93.09, G:117.47, R:138.99)","C17(B:136.54, G:128.77, R:117.46)","C7(B:72.25, G:77.27, R:83.17)","C2(B:120.39, G:139.30, R:120.06)"
27,12,8,9,19,3077,"C12(B:55.40, G:92.48, R:142.35)","C8(B:167.59, G:178.52, R:181.08)","C9(B:82.92, G:81.66, R:124.65)","C19(B:55.08, G:80.23, R:96.73)"
28,4,1,9,5,3040,"C4(B:43.43, G:54.12, R:71.58)","C1(B:37.50, G:49.27, R:60.68)","C9(B:82.92, G:81.66, R:124.65)","C5(B:141.83, G:147.11, R:151.05)"
29,18,15,17,17,3004,"C18(B:71.24, G:114.86, R:186.20)","C15(B:33.82, G:48.38, R:56.67)","C17(B:136.54, G:128.77, R:117.46)","C17(B:136.54, G:128.77, R:117.46)"
30,10,10,19,0,3023,"C10(B:132.11, G:101.46, R:81.61)","C10(B:132.11, G:101.46, R:81.61)","C19(B:55.08, G:80.23, R:96.73)","C0(B:99.35, G:133.11, R:149.24)"
